R,G,B,X,Y,Z,WX,WY,WZ
1487.832824,1705.719829,652.3023999,64.87345067,55.99899582,16.81796271,,,
2319.818364,2419.187814,1577.622907,99.19867563,77.47498656,43.45170529,,,
2165.221621,2722.172797,1994.2315,95.37350792,78.57646555,55.93828119,,,
1997.384532,2905.508112,2154.941048,91.41365503,80.15342756,61.31483256,,,
2076.617532,2544.839963,1249.211518,90.57051617,78.22933324,32.24002059,,,
2692.771829,3481.851264,1823.940461,120.5690298,105.7366773,47.98028102,,,
2568.388149,3762.745317,2306.849639,119.3949299,107.9924941,63.51203216,,,
2126.189978,4463.863945,2944.285462,103.7784416,107.7981859,77.46286756,,,
2219.171504,5010.857368,3159.162989,110.2195057,119.8028893,81.33563465,,,
709.4248904,1458.258044,878.1757644,35.46478365,36.89589208,24.15541808,,,
463.2512218,823.3571065,392.7608783,22.05961868,22.39044636,10.38474083,,,
781.9959518,1370.994957,444.321085,36.4065954,38.11764815,10.25159215,,,
775.8280428,1189.952568,358.9277204,37.57347831,37.46405821,10.51270016,,,
1194.831227,1942.634129,702.5974517,55.56523858,55.89537075,17.60355551,,,
1046.912977,1054.048241,357.3478361,45.05087525,37.69016603,9.980043629,,,
779.220574,725.4121381,317.8935162,31.51288715,24.84725343,7.92633853,,,
1903.862641,1408.412717,520.9499742,78.10780137,57.4870067,15.0352832,,,
2388.061902,2105.069033,694.3013448,100.0897256,79.02062462,18.71336209,,,
2209.421426,2388.770188,837.2310233,94.74752134,80.34923745,20.20715038,,,
1761.745602,1660.757672,490.3608593,71.6740725,58.18578398,10.31645319,,,
2648.563089,3418.431002,1192.566325,119.6184226,109.1359249,29.42328033,,,
2312.461969,3485.919813,1240.338817,112.5765787,110.1030316,35.02609044,,,
2782.920974,5755.29672,3679.767699,139.4185786,144.3106896,98.99399202,,,
2900.746475,5551.502778,3113.782387,141.8555624,145.0647451,81.87558762,,,
2938.474474,5775.252151,3807.467498,143.7479421,144.744915,101.4275065,,,
2780.354167,5867.304375,4170.390373,137.9279471,141.1023231,112.1248841,,,
69.17625439,460.014094,946.277716,5.508740126,4.522899339,26.54848346,,,
376.9157299,903.3662387,516.5561321,18.77696428,21.19774304,13.10977154,,,
591.0169563,1499.694124,668.4914684,30.12281339,36.04174739,16.60501161,,,
510.640522,1447.11461,472.6168355,27.54551549,35.43746117,10.79145757,,,
587.6994399,1451.625545,430.8166465,31.04162085,37.68719751,10.33025011,,,
439.7532774,1490.378356,562.8362212,26.14200036,35.57216023,14.13445296,,,
391.2639919,1497.111645,425.5475123,25.14038923,36.60437448,10.55949339,,,
668.8733069,2354.21442,754.6463894,36.95608618,54.00238332,14.87268893,,,
2793.329601,6668.19195,4983.931944,143.3036068,153.1221717,134.6437301,,,
2262.495986,5394.882121,4055.074874,115.1456483,122.8137132,109.4921069,,,
1689.832525,4037.456662,3077.256292,85.91048358,91.20384479,83.44287614,,,
1412.214331,3405.849752,2593.38121,71.90473259,76.72503554,70.37801937,,,
2772.693396,5209.268215,1546.135812,131.3386946,144.4471516,30.44521566,,,
2352.287845,3463.10295,688.1877725,113.4141985,113.1971982,16.04313037,,,
1688.448146,2493.801081,526.8410857,78.5397369,78.03997124,11.47711706,,,
1216.412364,1845.046812,486.8678839,57.26339095,57.07406206,12.66211717,,,
1301.329169,1748.129896,470.1046899,59.8512368,56.85120161,12.82101746,,,
1505.038718,2689.199911,709.1660638,73.91058488,79.01448624,18.028433,,,
91.59038374,1170.416974,461.9540262,6.688732345,20.03682967,7.15617531,,,
195.4064245,496.4214839,284.3463469,10.68536151,12.21562445,7.990142532,,,
340.6770162,1088.039148,595.8036977,17.70290748,23.05509178,13.6827688,,,
725.7220947,2411.590771,880.93118,39.44658423,55.47202493,18.39260279,,,
1179.789261,3441.026547,1615.850884,61.46540131,79.48458988,36.91660175,,,
1337.780694,3114.864928,1008.198869,64.66784519,78.1601937,20.22703695,,,
1332.216235,3049.421829,651.2027202,67.47409347,82.20675308,13.38440111,,,
1892.789307,4320.321902,1851.48931,91.05061816,106.4653968,40.59676271,,,
1159.22782,2829.244746,2173.069887,58.00716481,61.9875771,57.67739162,,,
2968.612948,7041.169348,5229.749882,151.2268872,161.4817323,139.1291167,,,
2969.115512,7043.291186,5214.319263,150.9540038,161.1995723,138.8092451,,,
793.1917363,1932.342318,1478.196962,41.06749837,43.7119422,40.64055426,,,
446.899533,1809.345187,1450.276201,28.95071377,37.05031662,39.93610578,,,
610.7666754,2821.284992,2278.619849,38.98567801,53.788847,59.76107967,,,
785.4541446,2869.925894,2261.14899,43.93201328,55.53436534,58.19744832,,,
602.8986285,2712.686195,1927.72286,38.16919937,53.68991628,49.78246869,,,
543.3999846,2946.18242,2319.399804,33.73556355,51.97992494,56.50560705,,,
908.5852348,4154.022994,2806.09712,52.91614626,78.61030492,66.53879858,,,
933.088601,218.3733534,83.51196275,31.9962023,15.4382311,1.505318743,,,
180.8375862,644.1273692,398.6533695,9.363126859,12.61951166,9.006577178,,,
198.0400025,985.2196437,498.905379,14.4289214,22.08564645,13.40213569,,,
190.9910172,1111.976903,609.0787712,12.00151757,21.54354688,13.93553708,,,
342.7003162,1845.034735,1033.947077,21.19187813,35.1633618,23.28674243,,,
324.9312659,1896.325964,842.6338713,19.53365224,36.08229701,16.67565731,,,
583.2484064,2618.247932,1327.703045,35.52103481,54.39097116,30.77470877,,,
